Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contract_Date,Vendor
DOD,352140001,DISTRICT OF COLUMBIA,USA,0,DEPT OF THE ARMY,2011,FEDERAL EXPRESS CORPORATION
DOD,348000010,TEXAS,USA,,DEPT OF THE AIR FORCE,2011,LOCKHEED MARTIN CORPORATION
DOD,346000015,HAWAII,USA,1,DEPT OF THE NAVY,2012,BAE SYSTEMS SPECTRAL SOLUTIONS LLC
DOD,337463337,PENNSYLVANIA,USA,2,DEFENSE LOGISTICS AGENCY,2012,"COMCAST CABLE COMMUNICATIONS, LLC"
DOD,329999995,TENNESSEE,USA,9,USTRANSCOM,2011,FEDEX CORPORATION
DOD,329999995,TENNESSEE,USA,9,USTRANSCOM,2011,FEDEX CORPORATION
DOD,329999995,TENNESSEE,USA,9,USTRANSCOM,2011,FEDEX CORPORATION
DOD,329999995,TENNESSEE,USA,9,USTRANSCOM,2011,FEDEX CORPORATION
DOD,329999995,TENNESSEE,USA,9,USTRANSCOM,2011,FEDEX CORPORATION
DOD,329999995,TENNESSEE,USA,9,USTRANSCOM,2011,FEDEX CORPORATION
DOD,329999995,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO FOOD SERVICES OF HAMPTON ROADS, INC"
DOD,329999995,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO FOOD SERVICES OF HAMPTON ROADS, INC"
DOD,329999995,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO FOOD SERVICES OF HAMPTON ROADS, INC"
DOD,329999995,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO FOOD SERVICES OF HAMPTON ROADS, INC"
DOD,329999995,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO FOOD SERVICES OF HAMPTON ROADS, INC"
DOD,329999995,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO FOOD SERVICES OF HAMPTON ROADS, INC"
DOD,329999995,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO FOOD SERVICES OF HAMPTON ROADS, INC"
DOD,323740000,,CANADA,,DEFENSE LOGISTICS AGENCY,2012,GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION
DOD,323214746,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO HAMPTON ROADS, INC."
DOD,323214746,VIRGINIA,USA,4,DEFENSE LOGISTICS AGENCY,2011,"SYSCO HAMPTON ROADS, INC."
DOD,321370010,CALIFORNIA,USA,36,DEFENSE LOGISTICS AGENCY,2012,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,321370010,CALIFORNIA,USA,50,DEFENSE LOGISTICS AGENCY,2012,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,321370010,CALIFORNIA,USA,50,DEPT OF THE AIR FORCE,2011,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,321370010,CALIFORNIA,USA,50,DEPT OF THE NAVY,2012,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,321370010,VIRGINIA,USA,10,DEPT OF THE AIR FORCE,2011,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,321370010,VIRGINIA,USA,10,DEPT OF THE ARMY,2011,NORTHROP GRUMMAN SPACE&MISSION SYSTEMS CORP.
DOD,320000000,FLORIDA,USA,24,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),2011,LOCKHEED MARTIN CORPORATION
DOD,320000000,FLORIDA,USA,24,DEPT OF THE AIR FORCE,2011,LOCKHEED MARTIN CORPORATION
DOD,319019991,COLORADO,USA,5,MISSILE DEFENSE AGENCY (MDA),2011,NORTHROP GRUMMAN SPACE&MISSION SYSTEMS CORP.
DOD,319019991,MARYLAND,USA,3,DEFENSE LOGISTICS AGENCY,2011,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,319019991,MARYLAND,USA,6,DEPT OF THE NAVY,2012,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,319019991,MARYLAND,USA,6,DEPT OF THE NAVY,2012,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,318026670,VIRGINIA,USA,3,DEPT OF THE NAVY,2012,"EARL INDUSTRIES, L.L.C."
DOD,314660004,ALABAMA,USA,5,DEPT OF THE ARMY,2011,JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS LLC
DOD,312490000,VERMONT,USA,0,DEPT OF THE NAVY,2012,"GENERAL DYNAMICS ARMAMENT AND TECHNICAL PRODUCTS, INC."
DOD,307029996,ILLINOIS,USA,8,DEFENSE LOGISTICS AGENCY,2011,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,307029996,VIRGINIA,USA,10,DEPT OF THE AIR FORCE,2011,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC."
DOD,307029996,VIRGINIA,USA,10,DEPT OF THE NAVY,2011,NORTHROP GRUMMAN TECHNICAL SERVICES INC
DOD,300000000,OHIO,USA,15,DEPT OF THE NAVY,2011,HONEYWELL INTERNATIONAL INC.
DOD,296999997,MARYLAND,USA,3,DEPT OF THE NAVY,2011,"WINDERMERE INFORMATION TECHNOLOGY SYSTEMS, LLC"
DOD,295070003,TEXAS,USA,1,DEPT OF THE ARMY,2011,"GENERAL DYNAMICS SATCOM TECHNOLOGIES, INC."
DOD,295070000,CALIFORNIA,USA,51,DEFENSE LOGISTICS AGENCY,2011,"AXSYS TECHNOLOGIES, INC."
DOD,295070000,CONNECTICUT,USA,2,DEFENSE LOGISTICS AGENCY,2011,ELECTRIC BOAT CORPORATION
DOD,295000000,,CANADA,,DEFENSE LOGISTICS AGENCY,2011,GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION
DOD,288983330,CALIFORNIA,USA,24,DEFENSE LOGISTICS AGENCY,2011,"ALCOA GLOBAL FASTENERS, INC."
DOD,285650001,VIRGINIA,USA,8,DEPT OF THE NAVY,2011,"ORACLE AMERICA, INC."
DOD,280000000,INDIANA,USA,3,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),2011,BAE SYSTEMS CONTROLS INC.
DOD,280000000,NEW HAMPSHIRE,USA,1,DEPT OF THE ARMY,2012,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION I
DOD,280000000,NEW HAMPSHIRE,USA,2,DEPT OF THE NAVY,2011,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION I
DOD,280000000,NEW JERSEY,USA,3,DEPT OF THE NAVY,2011,LOCKHEED MARTIN CORPORATION
DOD,280000000,NEW JERSEY,USA,4,DEPT OF THE ARMY,2011,"LOCKHEED MARTIN INTEGRATED SYSTEMS, INC."
DOD,280000000,TEXAS,USA,25,DEFENSE LOGISTICS AGENCY,2011,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION I
DOD,274020000,MARYLAND,USA,6,DEPT OF THE NAVY,2012,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,270000005,MASSACHUSETTS,USA,9,DEPT OF THE AIR FORCE,2011,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
DOD,270000005,MASSACHUSETTS,USA,9,DEPT OF THE AIR FORCE,2012,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
DOD,270000005,MASSACHUSETTS,USA,9,DEPT OF THE AIR FORCE,2012,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
DOD,270000005,MASSACHUSETTS,USA,9,DEPT OF THE NAVY,2011,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
DOD,270000005,MASSACHUSETTS,USA,9,DEPT OF THE NAVY,2012,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
DOD,270000000,ALABAMA,USA,3,DEFENSE LOGISTICS AGENCY,2012,"BAE SYSTEMS LAND&ARMAMENTS, L.P."
DOD,270000000,ALABAMA,USA,3,DEFENSE LOGISTICS AGENCY,2012,"BAE SYSTEMS LAND&ARMAMENTS, L.P."
DOD,254299996,CALIFORNIA,USA,25,DEPT OF THE AIR FORCE,2011,NORTHROP GRUMMAN SYSTEMS CORPORATION
DOD,250180000,MINNESOTA,USA,4,DEFENSE LOGISTICS AGENCY,2011,3M COMPANY
DOD,250179993,MINNESOTA,USA,4,DEFENSE LOGISTICS AGENCY,2011,3M COMPANY
DOD,250000000,ARIZONA,USA,7,DEPT OF THE NAVY,2012,RAYTHEON COMPANY
DOD,249999994,KENTUCKY,USA,3,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),2011,BAE SYSTEMS LAND&ARMAMENTS INC.
DOD,249999994,KENTUCKY,USA,3,DEPT OF THE NAVY,2011,BAE SYSTEMS LAND&ARMAMENTS INC.
DOD,240000000,WISCONSIN,USA,5,DEPT OF THE NAVY,2012,"QUEST TECHNOLOGIES, INC."
DOD,230000005,ARIZONA,USA,7,DEPT OF THE ARMY,2012,RAYTHEON COMPANY
DOD,220000010,MARYLAND,USA,3,DEPT OF THE ARMY,2012,"MOTOROLA SOLUTIONS, INC."
DOD,220000010,MARYLAND,USA,3,DEPT OF THE NAVY,2011,"MOTOROLA SOLUTIONS, INC."
DOD,220000000,VIRGINIA,USA,8,DEFENSE LOGISTICS AGENCY,2011,XEROX CORPORATION
DOD,213019996,MICHIGAN,USA,15,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),2011,"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS, INC."
DOD,210000000,INDIANA,USA,3,DEPT OF THE ARMY,2012,RAYTHEON COMPANY
DOD,202580009,NORTH CAROLINA,USA,4,DEFENSE LOGISTICS AGENCY,2011,DEERE&COMPANY
DOD,192630005,SOUTH CAROLINA,USA,2,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,180000000,GEORGIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"A. E. PETSCHE COMPANY, INC."
DOD,180000000,MARYLAND,USA,7,DEFENSE LOGISTICS AGENCY,2012,"NURAD TECHNOLOGIES, INC."
DOD,179999989,CALIFORNIA,USA,49,DEFENSE LOGISTICS AGENCY,2011,"JOSEPH WEBB FOODS, INC"
DOD,179999989,GEORGIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,GEORGIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,GEORGIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,GEORGIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,GEORGIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,GEORGIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,MARYLAND,USA,3,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,MARYLAND,USA,3,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,MARYLAND,USA,7,DEFENSE LOGISTICS AGENCY,2012,"NURAD TECHNOLOGIES, INC."
DOD,179999989,NEW MEXICO,USA,1,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,176670000,WASHINGTON,USA,1,DEPT OF THE ARMY,2012,"FRESENIUS KABI, LLC"
DOD,167399997,VIRGINIA,USA,8,DEFENSE THREAT REDUCTION AGENCY (DTRA),2011,COMPUTER SCIENCES CORPORATION
DOD,164000000,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,RICOH AMERICAS CORPORATION
DOD,163000002,ILLINOIS,USA,9,DEFENSE LOGISTICS AGENCY,2011,XEROX CORPORATION
DOD,161999994,CALIFORNIA,USA,44,DEPT OF THE NAVY,2012,COMPUTER SCIENCES CORPORATION
DOD,160000000,MASSACHUSETTS,USA,9,DEPT OF THE ARMY,2012,ILLINOIS TOOL WORKS INC.
DOD,158100340,OHIO,USA,3,DEFENSE LOGISTICS AGENCY,2011,"ARROW ELECTRONICS, INC."
DOD,154410373,COLORADO,USA,6,DEPT OF THE NAVY,2011,ARROW ENTERPRISE COMPUTING SOLUTIONS INC.
DOD,152000000,VIRGINIA,USA,10,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"HP ENTERPRISE SERVICES, LLC"
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2011,NAVISTAR DEFENSE LLC
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2011,NAVISTAR DEFENSE LLC
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2012,NAVISTAR DEFENSE LLC
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2012,NAVISTAR DEFENSE LLC
DOD,149010001,TEXAS,USA,4,DEPT OF THE AIR FORCE,2011,L-3 COMMUNICATIONS CORPORATION
DOD,146000000,,AUSTRALIA,,DEPT OF THE NAVY,2012,THALES AUSTRALIA LIMITED
DOD,140000000,ARIZONA,USA,7,MISSILE DEFENSE AGENCY (MDA),2012,RAYTHEON COMPANY
DOD,140000000,CALIFORNIA,USA,40,DEPT OF THE ARMY,2012,THALES-RAYTHEON SYSTEMS COMPANY LLC
DOD,140000000,FLORIDA,USA,10,DEPT OF THE AIR FORCE,2011,RAYTHEON COMPANY
DOD,140000000,MASSACHUSETTS,USA,3,DEPT OF THE AIR FORCE,2011,RAYTHEON COMPANY
DOD,140000000,TEXAS,USA,4,DEPT OF THE NAVY,2012,RAYTHEON COMPANY
DOD,140000000,WASHINGTON,USA,9,DEFENSE LOGISTICS AGENCY,2011,"SYSCO SEATTLE, INC."
DOD,140000000,WASHINGTON,USA,9,DEFENSE LOGISTICS AGENCY,2011,"SYSCO SEATTLE, INC."
DOD,139609999,TEXAS,USA,4,DEPT OF THE NAVY,2012,L-3 COMMUNICATIONS CORPORATION
DOD,137194219,CONNECTICUT,USA,5,DEFENSE LOGISTICS AGENCY,2011,"BARDEN CORPORATION, THE"
DOD,130000000,CONNECTICUT,USA,5,DEPT OF THE NAVY,2011,"CANBERRA INDUSTRIES, INC."
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
